Gender,Height_cm,US_born,Poverty,Weight_kg,Age_yr
Male,92.9,TRUE,TRUE,15.1,3
Male,119.1,TRUE,FALSE,23.9,6
Male,176,TRUE,FALSE,111.7,33
Male,174.1,TRUE,FALSE,68.1,33
Male,166.2,TRUE,FALSE,54,13
Male,166.2,FALSE,FALSE,93.3,34
Female,166.5,TRUE,FALSE,59.7,33
Female,159.8,TRUE,FALSE,54.7,17
Female,165.5,TRUE,FALSE,74.8,30
Male,167,FALSE,FALSE,66,68
Female,134.6,FALSE,TRUE,30.2,7
Male,170.8,TRUE,FALSE,75,68
Female,112.9,TRUE,TRUE,20,5
Female,167.1,TRUE,TRUE,97.4,62
Female,168.4,TRUE,FALSE,96.3,29
Male,157.6,FALSE,FALSE,55.8,36
Female,160.7,TRUE,FALSE,100,80
Male,142.3,TRUE,FALSE,29.9,10
Male,178.3,FALSE,FALSE,104,24
Male,173.8,TRUE,FALSE,131.4,44
Male,182.6,TRUE,FALSE,78.7,31
Female,155.5,TRUE,FALSE,98.5,69
Male,187.5,TRUE,TRUE,140.9,37
Female,159.9,TRUE,TRUE,70.7,41
Male,170.6,TRUE,FALSE,50,13
Male,149,TRUE,FALSE,48.7,9
Male,140.6,TRUE,TRUE,37.8,9
Female,159.5,TRUE,FALSE,76.1,29
Female,89.1,TRUE,FALSE,13.9,2
Male,165.5,TRUE,FALSE,68,80
Female,149,TRUE,FALSE,60,30
Female,166.2,TRUE,FALSE,91.9,39
Female,151.7,TRUE,TRUE,70.3,49
Male,165.4,FALSE,FALSE,60,52
Female,141.1,TRUE,FALSE,42.5,10
Male,173.5,FALSE,TRUE,86.3,41
Female,102.8,TRUE,TRUE,15.6,4
Male,158.2,TRUE,TRUE,67.6,75
Male,160,TRUE,FALSE,40.5,10
Female,163.3,TRUE,FALSE,62.9,50
Male,179.1,TRUE,FALSE,85.9,63
Male,165.5,FALSE,FALSE,75.7,74
Male,168.1,TRUE,FALSE,73.8,58
Female,94.9,TRUE,FALSE,14.2,2
Female,156.7,TRUE,FALSE,62.2,31
Female,155.8,TRUE,FALSE,63.3,57
Female,103.3,TRUE,FALSE,16.1,3
Female,159.3,TRUE,FALSE,78.2,80
Female,163.9,FALSE,TRUE,104.1,71
Male,182.5,TRUE,TRUE,113,52
Male,179.1,TRUE,FALSE,71.8,39
Female,164,TRUE,FALSE,61.2,40
Male,156.2,FALSE,TRUE,57.5,58
Male,128.9,TRUE,FALSE,27.6,6
Male,173.1,TRUE,FALSE,79.1,74
Female,156.5,TRUE,FALSE,72.4,19
Male,167.2,FALSE,FALSE,80.6,70
Male,184.7,FALSE,FALSE,115.8,37
Female,152.6,TRUE,FALSE,68.1,71
Male,173.5,FALSE,FALSE,86.7,52
Male,156.1,FALSE,FALSE,42.8,13
Male,168.9,TRUE,FALSE,79.8,48
Female,157.9,FALSE,TRUE,50.7,45
Male,142.2,TRUE,FALSE,49.1,8
Male,182.9,TRUE,FALSE,74.2,35
Female,157.5,TRUE,FALSE,51.1,16
Female,162.8,TRUE,TRUE,55.2,19
Male,114,TRUE,FALSE,18.8,7
Male,173.8,TRUE,FALSE,109,54
Female,160.2,TRUE,FALSE,82.9,22
Female,131.7,TRUE,TRUE,31.9,10
Male,178.6,TRUE,FALSE,119.9,68
Male,176,TRUE,FALSE,98.4,29
Female,144.8,TRUE,TRUE,102,51
Female,165.7,FALSE,FALSE,51.9,29
Female,158.6,FALSE,TRUE,81,38
Female,151.5,TRUE,TRUE,61.4,13
Male,180.8,TRUE,TRUE,89.5,30
Female,146.5,FALSE,FALSE,81.7,46
Female,165.2,TRUE,TRUE,63.3,50
Male,150.5,TRUE,FALSE,74.9,9
Male,190.4,TRUE,FALSE,92.1,28
Female,105.3,TRUE,FALSE,16.4,4
Female,114.7,TRUE,FALSE,20.2,5
Female,94.8,TRUE,TRUE,13.1,3
Female,126.7,TRUE,TRUE,32.3,6
Male,167.3,TRUE,FALSE,101.8,31
Male,111.5,TRUE,FALSE,19.7,4
Male,128.4,TRUE,TRUE,29.7,7
Female,160.4,FALSE,FALSE,57.8,21
Male,182.7,FALSE,TRUE,75.3,35
Female,166.8,FALSE,FALSE,88.5,26
Female,153.9,TRUE,TRUE,45.7,11
Male,176.9,TRUE,FALSE,92.6,14
Female,162.1,TRUE,FALSE,111.1,52
Male,171.1,TRUE,FALSE,87.6,72
Female,170.9,FALSE,FALSE,84.6,45
Female,154.6,FALSE,FALSE,59.2,24
Male,168,FALSE,FALSE,72.7,50
Female,148.3,TRUE,FALSE,47.2,15
Male,120.5,TRUE,FALSE,24.4,6
Female,163.9,TRUE,FALSE,60.8,34
Male,172,TRUE,FALSE,91,69
Female,175.1,FALSE,FALSE,83.4,41
Male,161.9,TRUE,TRUE,65.6,53
Male,169.8,TRUE,FALSE,88.7,67
Female,155.4,FALSE,TRUE,75.9,44
Female,178.8,TRUE,TRUE,67.1,51
Female,168.5,TRUE,TRUE,92.5,15
Female,161.5,FALSE,FALSE,96.6,40
Male,164.8,FALSE,TRUE,65.7,50
Male,166.1,TRUE,FALSE,76.2,71
Male,168.3,TRUE,FALSE,69.2,72
Male,108,TRUE,FALSE,21.1,4
Male,173.7,FALSE,FALSE,68.1,23
Male,169.5,TRUE,TRUE,91.7,41
Female,150.6,TRUE,FALSE,84.7,52
Female,164.1,TRUE,FALSE,57.2,59
Female,149,FALSE,TRUE,54.5,53
Female,158.4,TRUE,FALSE,87.5,56
Male,180.8,TRUE,FALSE,81.9,33
Male,174.8,TRUE,TRUE,93.2,46
Female,168.4,TRUE,FALSE,98.8,40
Female,105,TRUE,TRUE,16.3,3
Female,164.8,TRUE,TRUE,88.7,21
Male,172.3,TRUE,FALSE,61.2,14
Female,158.3,TRUE,TRUE,59.8,15
Female,164.5,TRUE,TRUE,97.4,18
Male,132.4,TRUE,TRUE,38,6
Female,156.2,TRUE,FALSE,82.5,66
Male,166.9,FALSE,TRUE,58.3,25
Female,157.2,TRUE,FALSE,55,44
Female,99.4,TRUE,TRUE,18.2,3
Male,175.5,TRUE,FALSE,110.4,60
Male,170.6,TRUE,FALSE,83.7,52
Male,111.9,TRUE,TRUE,21.3,4
Male,124.3,TRUE,FALSE,19.8,7
Male,164.9,FALSE,FALSE,94.5,27
Male,188.9,FALSE,FALSE,94.6,44
Male,176.2,FALSE,FALSE,79.4,38
Female,167.9,TRUE,FALSE,193.7,40
Male,177.5,TRUE,FALSE,75.7,27
Male,172.1,TRUE,FALSE,64.9,16
Male,137.9,TRUE,TRUE,32.6,8
Female,154.1,TRUE,FALSE,90.3,47
Male,193.7,TRUE,FALSE,91.5,17
Female,171.1,TRUE,FALSE,102.1,53
Male,160,FALSE,FALSE,53.6,55
Female,164.9,TRUE,FALSE,50.1,80
Female,153.7,TRUE,TRUE,70.7,57
Female,114.5,TRUE,TRUE,21.2,5
Male,140.3,TRUE,FALSE,33.4,12
Male,167.9,FALSE,FALSE,93.5,27
Male,82.4,TRUE,FALSE,10.7,2
Male,177.3,FALSE,TRUE,99,13
Male,178.5,FALSE,FALSE,78.5,48
Female,163.6,TRUE,FALSE,51.6,17
Female,148.7,FALSE,FALSE,69.7,33
Female,161.8,TRUE,FALSE,90.9,46
Female,162,TRUE,FALSE,87.9,74
Male,169.7,TRUE,TRUE,67,15
Female,149.4,TRUE,FALSE,88.9,14
Female,161.2,TRUE,FALSE,68.6,64
Female,177.5,TRUE,FALSE,78.8,57
Female,155,TRUE,FALSE,60.2,80
Female,169.8,TRUE,TRUE,80.1,36
